"Genus","LDD0R1","LDD0R2","LDD0R3","LDD10CF70R1","LDD10CF70R2","LDD10CF70R3","LDD10MHPR1","LDD10MHPR2","LDD10MHPR3","LDD10MLPR1","LDD10MLPR2","LDD10MLPR3","LDD10MR1","LDD10MR2","LDD10MR3","LDD10NUSR1","LDD10NUSR2","LDD10NUSR3","LDD10OKAR1","LDD10OKAR2","LDD10OKAR3","LDD10PKMR1","LDD10PKMR2","LDD10PKMR3","LDD10PR1","LDD10PR2","LDD10PR3","LDD10RIBR1","LDD10RIBR2","LDD10RIBR3","LDD10SBMR1","LDD10SBMR2","LDD10SBMR3","LDD5CF70R1","LDD5CF70R2","LDD5CF70R3","LDD5MHPR1","LDD5MHPR2","LDD5MHPR3","LDD5MLPR1","LDD5MLPR2","LDD5MLPR3","LDD5MR1","LDD5MR2","LDD5MR3","LDD5NUSR1","LDD5NUSR2","LDD5NUSR3","LDD5OKAR1","LDD5OKAR2","LDD5OKAR3","LDD5PKMR1","LDD5PKMR2","LDD5PKMR3","LDD5PR1","LDD5PR2","LDD5PR3","LDD5RIBR1","LDD5RIBR2","LDD5RIBR3","LDD5SBMR1","LDD5SBMR2","LDD5SBMR3","WTD0R1","WTD0R2","WTD0R3","WTD10CF70R1","WTD10CF70R2","WTD10CF70R3","WTD10MHPR1","WTD10MHPR2","WTD10MHPR3","WTD10MLPR1","WTD10MLPR2","WTD10MLPR3","WTD10MR1","WTD10MR2","WTD10MR3","WTD10NUSR1","WTD10NUSR2","WTD10NUSR3","WTD10OKAR1","WTD10OKAR2","WTD10OKAR3","WTD10PKMR1","WTD10PKMR2","WTD10PKMR3","WTD10PR1","WTD10PR2","WTD10PR3","WTD10RIBR1","WTD10RIBR2","WTD10RIBR3","WTD10SBMR1","WTD10SBMR2","WTD10SBMR3","WTD5CF70R2","WTD5CF70R3","WTD5MHPR1","WTD5MHPR2","WTD5MHPR3","WTD5MLPR1","WTD5MLPR2","WTD5MLPR3","WTD5MR1","WTD5MR2","WTD5MR3","WTD5NUSR1","WTD5NUSR2","WTD5NUSR3","WTD5OKAR1","WTD5OKAR2","WTD5OKAR3","WTD5PKMR1","WTD5PKMR2","WTD5PKMR3","WTD5PR1","WTD5PR2","WTD5PR3","WTD5RIBR1","WTD5RIBR2","WTD5RIBR3","WTD5SBMR1","WTD5SBMR2","WTD5SBMR3"
"k__Bacteria.__",0.000122048,0.000777996,8.31048e-05,0,0.00159936,0.000137974,0.005766292,0.001505925,0.000507389,0.007176012,0.005553775,0.013975272,0.005474321,0,0.001673852,0.004819535,0.003264476,0.019497139,0.00144921,0.004158004,0.002455574,0.000998431,0,0.000212198,0.006185217,0.002999642,0.000967742,0.000936956,0.000423711,0.002609356,0,0.000194234,0.000390292,0.000402549,0.008491884,0,0,0,0.003932443,0.002186036,0.005545489,0.002217597,0,0,0,0.00317864,0.000353787,0.0004649,0,0,0,0,0,0,0.000100284,6.01594e-05,0.000912979,0,0,0,0.000588279,9.45626e-05,0.000197716,8.83991e-05,0.000565908,0.000188318,0.001543984,0.003933641,0.000357001,0.02014218,0.000950972,0.000769625,0.007188713,0.010545413,0.012205243,9.37441e-05,0.057515337,0,0.000799105,0.00013964,0.001953374,0.000614224,0.001657459,0.000734527,0.003203164,0.001121795,0,0.013131003,0.0043362,0.006544935,0.000707307,0.001824418,0.00363272,0.000491884,0.000107782,0.000356379,0.000158153,0.000437752,4.54442e-05,0,0.000132591,0.005007704,0.022995032,0.008439466,0.001502984,0.001890772,0.002173297,0.002864418,0.013670886,0,0,0.000539108,0.000745231,0,0,0.000105213,0.021365815,0.000977199,0.006010433,0.000777739,0,0,0,0.000480723,0.000754148
"k__Bacteria.p__Actinobacteria",0.003936047,0.003020457,0.002867115,0.438479447,0.044782087,0.071918871,0.007016813,0.011327179,0.005517854,0.103025129,0.122556873,0.230161109,0.006266657,0.005624869,0.006898301,0.010388776,0.017071604,0.008506474,0.064353969,0.087664588,0.091825525,0.216564446,0.187349605,0.11770947,0.117417162,0.184366046,0.100483871,0.311426404,0.26337867,0.329016036,0.176670644,0.087016843,0.163745387,0.007916806,0.004837149,0.002356213,0.001439194,0.002091059,0.002218301,0.038724069,0.137594026,0.041520248,0.003126466,0.002559216,0.004130233,0.001748252,0.001729628,0.003212037,0.071862479,0.109744358,0.125147183,0.004364871,0.004740128,0.005799439,0.016513455,0.067107836,0.028014031,0.017467989,0.00522693,0.005457332,0.011103758,0.01536643,0.250852652,0,0.000363798,9.4159e-05,0.128343691,0.129126048,0.097461325,0.006319115,0.003803888,0.009543356,0.051897128,0.116849983,0.113313479,0.009374414,0.015529141,0.005609206,0.006179745,0.005550707,0.005010828,0.095073049,0.094033149,0.096416283,0.106150075,0.275320513,0.147176523,0.162936849,0.211172942,0.170608294,0.471552982,0.459789827,0.538895152,0.226190927,0.085956025,0.007959135,0.000158153,0,0.000795274,0,0.000618757,0.022782302,0.007523066,0.015804818,0,0.000799942,0,0,0,0.001253133,0.000230822,0.002021654,0.004868839,0.000343672,0.017878537,0.00331422,0.006190096,0.012117264,0.009866183,0.001209817,0.01276136,0.004570178,0.035350043,0.001922892,0
"k__Bacteria.p__Bacteroidetes",0.002166351,0,0,0.035477258,0.100679728,0.300231106,0.034528276,0.038499313,0.034882983,0.126927386,0.226423155,0.255938554,0.00403371,0.004218652,0.003550596,0.00139231,0.003371508,0.003161698,0.102169286,0.196292446,0.011954766,0.164693577,0.192506016,0.257063174,0.22786746,0.154369628,0.225032258,0.20407799,0.269819075,0.30747699,0.002684964,0.003551708,0.002661084,0.003555854,0.007094486,0.001815443,0.001918925,0.005604037,0.00594908,0.069953156,0.006149454,0.036300365,0.00097702,0.000871222,0.001748837,0,0.000550336,0.000676218,0.002908104,0.019075124,0.001110177,0.00044457,0.000267049,0.000499289,0.186327929,0.092194315,0.087694008,0.003815823,0.008576582,0.000784959,0.002573719,0.010023641,0.164944887,0.001208121,0.000929706,0.00094159,0.219477361,0.029929879,0.111503372,0.006319115,0.020393068,0.00877373,0.188136701,0.211361832,0.186154372,0.001843635,0.008435583,0.001792633,0.008044324,0.002094606,0.003906748,0.287829597,0.023535912,0.184366181,0.143056097,0.135897436,0.142793623,0.191906806,0.04712004,0.117258827,0.124707131,0.139531489,0.166353501,0.002005373,0.00291011,0.006216837,0.000830302,0.001663456,0.002340377,0.009163167,0.001458499,0.073794849,0.081192335,0.077029308,0.006484305,0.016217002,0.003968629,0.001591343,0.002869198,0.113784461,0.162114334,0.032391392,0.122764308,0.00088782,0.001658833,0.130376839,0.0235623,0.030228013,0.022794284,0.004320774,0.04535101,0.011715104,0.178738116,0.010575906,0.049019608
"k__Bacteria.p__Cyanobacteria",0.000122048,0.000183058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes",0.832031488,0.838634387,0.760990609,0.347232357,0.555217913,0.452416267,0.413991941,0.494467361,0.441745418,0.616043323,0.520826658,0.412176845,0.42742923,0.435568321,0.347704793,0.110206705,0.50026758,0.098840711,0.403695485,0.374335874,0.485945073,0.428184282,0.423365909,0.324754456,0.433406967,0.602256447,0.348903226,0.184669611,0.29418245,0.264636113,0.57297136,0.703154916,0.620139086,0.845286817,0.625497151,0.742091236,0.35684017,0.658042212,0.378674061,0.719652019,0.811563169,0.808604278,0.468735345,0.489354751,0.409451163,0.627304514,0.628601753,0.474282575,0.465167378,0.374015046,0.610832632,0.543507255,0.485395734,0.501017782,0.493732241,0.666175365,0.666186152,0.787670652,0.872676409,0.835495085,0.620928009,0.496170213,0.338885868,0.942982585,0.774566474,0.912118264,0.556027329,0.358474431,0.606743356,0.574249605,0.33262891,0.438789123,0.615807481,0.202914163,0.550407655,0.683801012,0.492139571,0.529751923,0.459165734,0.532588584,0.464265999,0.276554205,0.473259669,0.515019136,0.336610774,0.356891026,0.508734041,0.561209892,0.674062297,0.604443956,0.218602184,0.288221557,0.241513216,0.662189262,0.538316448,0.450384098,0.827020402,0.901593416,0.678482163,0.706535698,0.774816583,0.801837993,0.807806955,0.848856836,0.537853738,0.524616392,0.544836058,0.284850414,0.53164557,0.457894737,0.439832269,0.520867964,0.432929253,0.657673912,0.670537278,0.585582268,0.858626198,0.867491857,0.870718984,0.728914622,0.728682397,0.647581346,0.342826275,0.34746659,0.417366947
"k__Bacteria.p__Fusobacteria",0.000213584,9.1529e-05,0.000207762,0.000243233,0,0,0.000555787,0,0.00123676,0.047057568,0,0.000187336,0,8.97585e-05,0.000152168,0,0.000214064,0,0.000181151,0,0,0,0.000245543,0.00015157,0,0,6.45161e-05,0,0.000254227,0,0,5.54954e-05,0,0.000536733,0,0.000386264,0.000679619,0.115621602,0.003176204,0.000178452,0.000274529,0.000272935,0.000117242,0.000163354,0.000372093,0.000317864,0.000235858,0,0.00029081,0.000427853,0.000235492,0.000202077,0.000166906,0.000422476,0.000300852,0.000180478,9.6103e-05,0.000466378,0.000147237,0.000224274,0,0.000330969,0,0,0,0,0.005365345,0,0.000396668,0,0,0.000256542,0.05208934,0.362682844,0.05013914,0,0,0.000578269,0.000532737,0.000279281,0.000169859,0,0,0.000270615,0.000278536,0.000560897,0.000381122,0.000408747,0,0.000439996,0.000353654,0.000328395,0.000751597,0.000264861,0.000161673,0.000237586,0,0,0,0.000173545,0,0.053433854,0.021291696,0.017185822,0.000128827,0,0,0,0,0,0.000115411,0,0,0,0,8.76778e-05,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria",0.161408434,0.157292572,0.235851409,0.178567706,0.29740104,0.175295781,0.538140892,0.454003798,0.516109596,0.099770581,0.124639539,0.087560884,0.556796082,0.554498399,0.639918844,0.872014566,0.475703735,0.867509786,0.428150899,0.337549088,0.407819063,0.189559264,0.196532927,0.300109131,0.215123195,0.056008238,0.324387097,0.298889038,0.171941867,0.096071734,0.247673031,0.206026804,0.21306415,0.142301241,0.354079329,0.253350844,0.639122092,0.218641091,0.606049912,0.169306268,0.038873332,0.111084576,0.526965765,0.507051457,0.584148837,0.367450731,0.368410708,0.521279743,0.459771229,0.496737619,0.262674516,0.451481227,0.509430183,0.492261013,0.303025238,0.174281847,0.217096728,0.190579157,0.113372842,0.158038351,0.364806236,0.477825059,0.245118877,0.055720895,0.223452848,0.086657669,0.08924229,0.478536001,0.183538278,0.392969984,0.642223161,0.541867624,0.084880637,0.095645765,0.08778011,0.304887195,0.424271472,0.46226797,0.524639071,0.459347181,0.524693193,0.339928926,0.406961326,0.202265435,0.410701354,0.230208333,0.200914692,0.070406703,0.063308521,0.100703993,0.184076743,0.110304313,0.046849555,0.108857694,0.372547963,0.534845965,0.171674838,0.096305376,0.318336742,0.283225157,0.22297357,0.042923179,0.059190916,0.032376861,0.454030146,0.456039561,0.449022016,0.710693826,0.451814346,0.427067669,0.397707163,0.444179882,0.438692369,0.341094596,0.309925353,0.280533782,0.086861022,0.088990228,0.090610116,0.264777048,0.213205233,0.336133372,0.443085566,0.639553889,0.532859298
"k__Bacteria.p__Tenericutes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000618549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000220119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019544,0,0,0,0,0,0,0
"Unassigned.__",0,0,0,0,0.000319872,0,0,0.000196425,0,0,0,0,0,0,0.000101446,0.001178109,0.000107032,0.002484192,0,0,0,0,0,0,0,0,0,0,0,0.000189771,0,0,0,0,0,0,0,0,0,0,0,0,7.81616e-05,0,0.000148837,0,0.000117929,8.45273e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189125,0,0,0.000121266,0,0,0,0,0,0,0,0,0,0,0,0.002108896,0,0.000639284,0,0,0,0.000552486,0.000309274,0,0,0,0,0,0,0,0,0.002004259,0,0,0,0,0,0,0.000902433,0,0,0,0.00030689,0,0.000436332,0,0,0,0,0,0,0,0,0,0,0.003394569,0,0,0,0,0,0,0,0
