"SampleID","substrate","line","age","diet","type","replicate","expid","gutmass","biomass","endpoint","BCR","SR","temperature","humidity","group","Shannon"
"1","LDD0R1","Fresh","LD","D0","D0","Fresh",1,"LD_D0",1,11.38909091,0,1e-07,1e-07,28.93563028,84.95341151,"LD_D0",2.3382432448848
"2","LDD0R2","Fresh","LD","D0","D0","Fresh",2,"LD_D0",1,10.30772727,0,1e-07,1e-07,28.93563028,84.95341151,"LD_D0",2.27864369243612
"3","LDD0R3","Fresh","LD","D0","D0","Fresh",3,"LD_D0",1,15.12681818,0,1e-07,1e-07,28.93563028,84.95341151,"LD_D0",2.33154625795797
"4","LDD5CF70R1","Plant","LD","D5","CF","Homo",1,"LD_D5_Control",126.3,291.915,11,0.258367925,110.5,28.78396625,86.14838423,"LD_CF70",1.9994719328521
"5","LDD5CF70R2","Plant","LD","D5","CF","Homo",2,"LD_D5_Control",98.6,493.095,11,0.281878683,83.2,28.78396625,86.14838423,"LD_CF70",1.43938859515845
"6","LDD5CF70R3","Plant","LD","D5","CF","Homo",3,"LD_D5_Control",126.2,438.87,11,0.371613169,95.5,28.78396625,86.14838423,"LD_CF70",2.22327832663807
"7","LDD5OKAR1","Plant","LD","D5","OKA","Homo",1,"LD_D5_OKA",92,278.64,11,0.280593478,103.6,28.93563028,84.95341151,"LD_OKA",2.35209972033086
"8","LDD5OKAR2","Plant","LD","D5","OKA","Homo",2,"LD_D5_OKA",87.2,353.28,11,0.221690802,95,28.93563028,84.95341151,"LD_OKA",3.1668125738056
"9","LDD5OKAR3","Plant","LD","D5","OKA","Homo",3,"LD_D5_OKA",123.3,253.68,11,0.294436526,100.5,28.93563028,84.95341151,"LD_OKA",2.58848562874595
"10","LDD5PKMR1","Plant","LD","D5","PKM","Homo",1,"LD_D5_PKM",36.7,65.715,15,0.142107199,95.9,28.93563028,84.95341151,"LD_PKM",2.54075872672746
"11","LDD5PKMR2","Plant","LD","D5","PKM","Homo",2,"LD_D5_PKM",23.7,64.59,15,0.14007966,94.1,28.93563028,84.95341151,"LD_PKM",2.37546006031275
"12","LDD5PKMR3","Plant","LD","D5","PKM","Homo",3,"LD_D5_PKM",31.1,60.33,15,0.15845375,116.8,28.93563028,84.95341151,"LD_PKM",2.60074274919149
"13","LDD5RIBR1","Plant","LD","D5","RIB","Homo",1,"LD_D5_RIB",73.3,110.565,14,0.151983871,115.5,28.93563028,84.95341151,"LD_RIB",2.07031855737873
"14","LDD5RIBR2","Plant","LD","D5","RIB","Homo",2,"LD_D5_RIB",35.4,89.49,14,0.189442748,271.8,28.93563028,84.95341151,"LD_RIB",2.11118811634169
"15","LDD5RIBR3","Plant","LD","D5","RIB","Homo",3,"LD_D5_RIB",26.5,80.385,14,0.14474271,92.3,28.93563028,84.95341151,"LD_RIB",2.20987841221953
"16","LDD5SBMR1","Plant","LD","D5","SBM","Homo",1,"LD_D5_SBM",94.1,336.285,14,0.147675,59.1,28.93563028,84.95341151,"LD_SBM",2.41757982115745
"17","LDD5SBMR2","Plant","LD","D5","SBM","Homo",2,"LD_D5_SBM",87.7,302.76,14,0.16138985,77.3,28.93563028,84.95341151,"LD_SBM",2.54274377180036
"18","LDD5SBMR3","Plant","LD","D5","SBM","Homo",3,"LD_D5_SBM",91.1,384.6,14,0.162961222,62.7,28.93563028,84.95341151,"LD_SBM",2.55326951055001
"19","LDD5MR1","Meat","LD","D5","M","Homo",1,"LD_D5_M",36.7,120.225,22,0.107239864,49.5,28.78396625,86.14838423,"LD_M",1.94479793350083
"20","LDD5MR2","Meat","LD","D5","M","Homo",2,"LD_D5_M",25.4,135.705,22,0.097818065,53.2,28.78396625,86.14838423,"LD_M",1.78907364418599
