Feature ID	Taxon	Confidence
21db4155f9cdc74a456b7231ccf5bbb7	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Wohlfahrtiimonas; s__	0.9389836956763765
bcb6e39f2d06797d518322b239f4bac1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.9908576646493669
d17d64893e046154d7e1fa979b22886c	k__Bacteria; p__Actinobacteria; c__Actinobacteria	0.8858849719456021
643f4a17de8a4601a7dfa242e8db58f4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Ignatzschineria; s__	0.9976868012161942
5d1ec8bb2148763a7c8a008977680200	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	0.9635976744692203
ef4c6589e2e23efce22d5c31d917fe7e	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__	0.8694086161632115
e4b381af3100626956eae184d05861c1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium	0.7843478052299393
2b745ebba1034cbdd517a8edef8eba70	k__Bacteria	0.9474603469016236
ddf17a7b153be40a75c3db07aebe9e48	k__Bacteria	0.9886040177823041
4f418c583f39071ae22f52de39422886	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae; g__Dietzia; s__	0.9207766020534546
68db94c9a492e2a29a70f691d8540455	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae	0.9996474335494311
dbcf7de80785979a7a0a16bdb430c1b6	k__Bacteria	0.9027728686785921
a3654784566322975d3371120f235353	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Myroides; s__odoratimimus	0.7958658405765271
498fffd5dafda1d44fb486aa03fc5ae1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__coprosuis	0.9503249549914818
c3623bedfec28d16dcf82ec467ca353a	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	0.7200501472116481
dcaf6fb834b1882f0112c75f133bb7b1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]	0.7704917902405222
5c92705b001298facb9ef915cb26dd7e	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Leucobacter; s__	0.8651907135778928
9b8de5a1849e2624b97aa3c6c765263b	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Rummeliibacillus; s__	0.7097335679436029
e447e608d4f2b16e214f6929d300e5e5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__butyricum	0.994120864006417
ec521183c7dfa3fc42115e15183f8c30	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	0.9674294730406708
a1b5795b8e975671f83f59edd4968de7	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__amylolyticus	0.9532155401653425
a44f30303d1c699a1bc3e93d323a2e84	k__Bacteria	0.985240290138801
842fce2bac5cb5acf3fb3c3026c0571d	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Morganella; s__morganii	0.7601277040939489
6d5eb2830f50e42287e69fb8991012ed	k__Bacteria	0.9904380494164102
6bd37fda82e947c38b2286cf903ced27	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Tissierella_Soehngenia; s__	0.743971806767809
e0725494d874f7dce608b05909faf000	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus	0.835711944287175
90ba76c3a9c5dddd302bd52480a1880f	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.997574318216746
793cbcf6f091fb104956fd890bf9f516	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus	0.8104654402262723
3bb6b6630acddb5d17e40f04f3b199c8	k__Bacteria	0.9318013300226605
99dd4fa9cf433559572c5aad56d95724	k__Bacteria	0.9497810142540318
dbc229f553125b1a9ee08be18e673758	k__Bacteria	0.9837774252324092
