"Genus","LDD0R1","LDD0R2","LDD0R3","LDD10CF70R1","LDD10CF70R2","LDD10CF70R3","LDD10MHPR1","LDD10MHPR2","LDD10MHPR3","LDD10MLPR1","LDD10MLPR2","LDD10MLPR3","LDD10MR1","LDD10MR2","LDD10MR3","LDD10NUSR1","LDD10NUSR2","LDD10NUSR3","LDD10OKAR1","LDD10OKAR2","LDD10OKAR3","LDD10PKMR1","LDD10PKMR2","LDD10PKMR3","LDD10PR1","LDD10PR2","LDD10PR3","LDD10RIBR1","LDD10RIBR2","LDD10RIBR3","LDD10SBMR1","LDD10SBMR2","LDD10SBMR3","LDD5CF70R1","LDD5CF70R2","LDD5CF70R3","LDD5MHPR1","LDD5MHPR2","LDD5MHPR3","LDD5MLPR1","LDD5MLPR2","LDD5MLPR3","LDD5MR1","LDD5MR2","LDD5MR3","LDD5NUSR1","LDD5NUSR2","LDD5NUSR3","LDD5OKAR1","LDD5OKAR2","LDD5OKAR3","LDD5PKMR1","LDD5PKMR2","LDD5PKMR3","LDD5PR1","LDD5PR2","LDD5PR3","LDD5RIBR1","LDD5RIBR2","LDD5RIBR3","LDD5SBMR1","LDD5SBMR2","LDD5SBMR3","WTD0R1","WTD0R2","WTD0R3","WTD10CF70R1","WTD10CF70R2","WTD10CF70R3","WTD10MHPR1","WTD10MHPR2","WTD10MHPR3","WTD10MLPR1","WTD10MLPR2","WTD10MLPR3","WTD10MR1","WTD10MR2","WTD10MR3","WTD10NUSR1","WTD10NUSR2","WTD10NUSR3","WTD10OKAR1","WTD10OKAR2","WTD10OKAR3","WTD10PKMR1","WTD10PKMR2","WTD10PKMR3","WTD10PR1","WTD10PR2","WTD10PR3","WTD10RIBR1","WTD10RIBR2","WTD10RIBR3","WTD10SBMR1","WTD10SBMR2","WTD10SBMR3","WTD5CF70R2","WTD5CF70R3","WTD5MHPR1","WTD5MHPR2","WTD5MHPR3","WTD5MLPR1","WTD5MLPR2","WTD5MLPR3","WTD5MR1","WTD5MR2","WTD5MR3","WTD5NUSR1","WTD5NUSR2","WTD5NUSR3","WTD5OKAR1","WTD5OKAR2","WTD5OKAR3","WTD5PKMR1","WTD5PKMR2","WTD5PKMR3","WTD5PR1","WTD5PR2","WTD5PR3","WTD5RIBR1","WTD5RIBR2","WTD5RIBR3","WTD5SBMR1","WTD5SBMR2","WTD5SBMR3"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcus",0,0.000823761,0.000747943,0.000173738,0,0.000827843,0.025218841,0.01577948,0.042176698,0.003654698,0.000267008,0.003109779,0.000216092,0.000359034,0.000253614,0,0.000374612,0,0.000226439,0.00017325,0,0.000142633,0.000392869,0.000212198,0,0,0.000258065,0,0.00076268,0,0.000268496,0.000110991,0.000390292,0.000603824,0.001182414,0.001429178,0.017989926,0.239774723,0.012200655,0.01226857,0.007851535,0.007642182,0.00144599,0.000816771,0.00104186,0.001430388,0.000904124,0.001225646,0.001324803,0.001176596,0.000672834,0.000767894,0.001001435,0.000691324,0.000935985,0.00105279,0.00062467,0.001187145,0.000809806,0.001083991,0.001029487,0.000992908,0.001038011,0.002151045,0.001495614,0.002385361,0.003242367,0,0.00099167,0,0.005494505,0.004104669,0.000269096,0,0.000732315,0,0,0,0.000745831,0,0,0,0,0,0,0,0,0,0.00043362,0.000714993,0,0,0,0,0,0,0.001937372,0.001838557,0.203635537,0.311443546,0.316008132,0.016508915,0.012065295,0.011354918,0.00266243,0.002617991,0.00245677,0.003500955,0.002025316,0.002506266,0.001961991,0.002156431,0.001639507,0.002749377,0.002027463,0.001981518,0.006389776,0.011400651,0.005897029,0.002160387,0.002160963,0.00222072,0.002203976,0.002788193,0.001831502
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.Clostridium.",0,0,0,0.000451718,0,0,0.000972627,0.106855235,0.000507389,0.000720269,0.00032041,0.000299738,0,0.000239356,0,0,0,0,0.000181151,0.000231,0,0,0,0.00015157,0.000169924,0.000223854,0,0,0.000338969,0.000284657,0,0.000416216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125545,0,0,0,0,0.014264582,0.012570549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000480769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001237514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122877,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__",0,0,0,0,0,0,0,0,0,0,0.002029264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000329435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000275149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__",0,0,0,0,0,0,0,0,0,8.00299e-05,0.000427213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101954,0.001522206,0.001709677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000807289,0,0.000439389,0,0,0,0,0,0,0,0,0,0.000724194,0,0,0.000459841,0.00028908,0.000329997,0,0.000291907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus",0,0,0,0.000104243,0,0,0,0,0,0.004935176,0.002029264,0.001648558,0,0,0,0,0,0,0,0,0,0,0,6.06281e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000603964,0.001432909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001230154,0,0.000829957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus",0,0,0,0,0.000159936,0,0.00020842,0,0,0,0.015539891,0.000524541,0.000144061,0,0,0,0,0,0,0,0,0.000142633,0.00147326,0,0.004180119,0.008954155,0.012064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000932471,0.000816876,0,0,0,0,0,0,0,0,0,0,0.01453737,7.93336e-05,0,0,0.000102617,0.003306039,0.000170087,0.001757555,0,0,0,0,0,0,0.000394858,0,0,0.004985795,0.003846154,0.004192339,0.012466789,0.00057816,0.005664943,0,0.000182442,0,0,0.000134727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001397764,0.001237785,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000278536,0,0,0,0.00021681,0.000219998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000325733,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium",0,0,0,0,0,0,0,0,0,0,0.002563281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115799,0,0,0,0,0,0.00049975,0.004365574,0.003124542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Acidaminobacteraceae..g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
