"Genus","LDD0R1","LDD0R2","LDD0R3","LDD10CF70R1","LDD10CF70R2","LDD10CF70R3","LDD10MHPR1","LDD10MHPR2","LDD10MHPR3","LDD10MLPR1","LDD10MLPR2","LDD10MLPR3","LDD10MR1","LDD10MR2","LDD10MR3","LDD10NUSR1","LDD10NUSR2","LDD10NUSR3","LDD10OKAR1","LDD10OKAR2","LDD10OKAR3","LDD10PKMR1","LDD10PKMR2","LDD10PKMR3","LDD10PR1","LDD10PR2","LDD10PR3","LDD10RIBR1","LDD10RIBR2","LDD10RIBR3","LDD10SBMR1","LDD10SBMR2","LDD10SBMR3","LDD5CF70R1","LDD5CF70R2","LDD5CF70R3","LDD5MHPR1","LDD5MHPR2","LDD5MHPR3","LDD5MLPR1","LDD5MLPR2","LDD5MLPR3","LDD5MR1","LDD5MR2","LDD5MR3","LDD5NUSR1","LDD5NUSR2","LDD5NUSR3","LDD5OKAR1","LDD5OKAR2","LDD5OKAR3","LDD5PKMR1","LDD5PKMR2","LDD5PKMR3","LDD5PR1","LDD5PR2","LDD5PR3","LDD5RIBR1","LDD5RIBR2","LDD5RIBR3","LDD5SBMR1","LDD5SBMR2","LDD5SBMR3","WTD0R1","WTD0R2","WTD0R3","WTD10CF70R1","WTD10CF70R2","WTD10CF70R3","WTD10MHPR1","WTD10MHPR2","WTD10MHPR3","WTD10MLPR1","WTD10MLPR2","WTD10MLPR3","WTD10MR1","WTD10MR2","WTD10MR3","WTD10NUSR1","WTD10NUSR2","WTD10NUSR3","WTD10OKAR1","WTD10OKAR2","WTD10OKAR3","WTD10PKMR1","WTD10PKMR2","WTD10PKMR3","WTD10PR1","WTD10PR2","WTD10PR3","WTD10RIBR1","WTD10RIBR2","WTD10RIBR3","WTD10SBMR1","WTD10SBMR2","WTD10SBMR3","WTD5CF70R2","WTD5CF70R3","WTD5MHPR1","WTD5MHPR2","WTD5MHPR3","WTD5MLPR1","WTD5MLPR2","WTD5MLPR3","WTD5MR1","WTD5MR2","WTD5MR3","WTD5NUSR1","WTD5NUSR2","WTD5NUSR3","WTD5OKAR1","WTD5OKAR2","WTD5OKAR3","WTD5PKMR1","WTD5PKMR2","WTD5PKMR3","WTD5PR1","WTD5PR2","WTD5PR3","WTD5RIBR1","WTD5RIBR2","WTD5RIBR3","WTD5SBMR1","WTD5SBMR2","WTD5SBMR3"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__",0,0,0,0,0,0,0,0,0,0,0.00064082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__Anaerovorax",0,0,0,0,0,0,0,0,0,0.000746946,0.002456478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509771,0.001029728,0.001612903,0,0,0,0,0,0,0,0,0,0,0,0,0.000178452,0.00197661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000721913,0.000768824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000195284,0,0,0,0,0,0,0,0,0,0,0,0,0.000766401,0.0043362,0.006654933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599042,0.005602606,0.00385575,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..__",0,0,0,0,0,0,0,0,0,0,0.001121435,0,0,0,0,0,0,0,0,0.000808501,0,0,0,0,0,0,0,0,0,0,0.008084726,0.003135492,0.002803009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005749624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158667,0,0,0,0.002344981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000145953,0,0.010140376,0.007625566,0.00906787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__",0,0,0,0,0,0,0,0,0,0.014485408,0.001441846,0.002922443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179083,0,0,0,0,0,0,0,0,0,0.000115879,0,0,0,0.029221503,0.000603964,0.013373819,0.000156323,0,0,0,0,0,0,0,0,0,0.000100144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000633981,0.000205233,0.007073386,0,0.00200166,0,0.000383436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012546775,0,0.003068897,0,0,0,0,0,0,0,0,0,0,0,5.26067e-05,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Gallicola",0,0,0,0.000764446,0,0,0.006322079,0.0013095,0.013731211,0.000106707,0,0.000149869,0,0,0,0,0,0,0,0,0,0,0,0,0.000101954,0,6.45161e-05,0,0,0,0,0,0,0,0,0,0.000519709,8.36423e-05,0.000504159,0.007494981,0,0.000750571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000235731,0,0,0,0,0,0.000789889,0.002430262,0.002103643,0,0,0.000195284,0,0,0,0,0,8.49293e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000355844,0,0.006952965,0.042101975,0.000530363,0.013867488,0.003832505,0.016725487,0.000128827,0.000290888,0,0,0.000337553,0,0.000192352,8.98513e-05,9.93641e-05,0,0.000153596,0.000298104,0,0.000260586,0,0,0.000146011,9.65531e-05,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Peptoniphilus",0.000244096,0.000823761,0.00103881,0.001355155,0.042143143,0.138353282,0.02785883,0.016499705,0.052197628,0.001387185,0.000854427,0.000412139,0.000504214,0.00062831,0.00035506,0.000321302,0.000107032,0.000451671,0.000543454,0.000924001,0.000581583,0.000475443,0,0.000788165,0.000849618,0.00116404,0.000741935,0.000758488,0.00076268,0.000711642,0.000805489,0.000305225,0.000461255,0.000469641,0.001074922,0.000502144,0.001958903,0.194607857,0.005848248,0.000758421,0.003129633,0.00163761,0.000547131,0.000925674,0.000818605,0.000635728,0.000550336,0.000507164,0.000678558,0.000677434,0.000874685,0.000687063,0.000801148,0.000729731,0.000835701,0.000782072,0.00096103,0.000763165,0.000920234,0.001046612,0.000441209,0.000520095,0.000296575,0.001090255,0.00121266,0.00094159,0.148106689,0.002736446,0.027806426,0.003949447,0.013524937,0.003694202,0.001230154,0.000226783,0.000341747,0.000499969,0,0.000404788,0.003888978,0.000279281,0.000679434,0.000372922,0.000331492,0.000270615,0.000417804,0.000560897,0.000381122,0.000255467,0.00101178,0.001099989,0.000574687,0.00021893,0,0.000567558,0.000134727,0.000197988,0.000672149,0.001225705,0.204589866,0.011662212,0.002872801,0.011886419,0.006813343,0.010434249,0.000901791,0.000581776,0.001133894,0,0.001012658,0,0.000807879,0.000898513,0.000844595,0.000658705,0.001105889,0.000754029,0,0.001237785,0.000226809,0.000432077,0.001168088,0.000901162,0.000864304,0.000192289,0.001292825
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Sedimentibacter",0.00045768,0,0,0.001111922,0,0.000344935,0.00041684,0,0.000412253,0.000666916,0.01740895,0.012738854,0,0.000329115,0.000608674,0,0.000374612,0.000301114,0.002943707,0,0.000581583,0.013455047,0.039483377,0.043500667,0.007204758,0.031026146,0,0.000312319,0.000889793,0,0.000596659,0.000388468,0.000709622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000363739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000385996,0,0.000317334,0,0.000422654,0.000256542,0.000576635,0,0.000634673,0.000218736,0,0.000231307,0.000532737,6.98202e-05,0.000339717,0.030118896,0.001657459,0.000231956,0.020528104,0.04150641,0.06904656,0.00030656,0.00057816,0.006599934,0.000486274,0.00043786,0,0.000378372,0.000511964,0.000475172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000675821,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Sporanaerobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Tissierella_Soehngenia",0,0.001144112,0.001412782,0.000799194,0,0.000310441,0,0.0005238,0.000285406,0.052526276,0.020506248,0.020681903,0.000288122,0.000388954,0,0,0,0.000376393,0.000317015,0,0,0.000285266,0.000491087,0.000303141,0.00751062,0.000179083,0.000387097,0.000892339,0.000593195,0.0006642,0.001133652,0.001082161,0.000532217,0.001140557,0.000429969,0.001120167,0.001159351,0.001589205,0.000806655,0.084943118,0.043101082,0.129917096,0.001758637,0.001197931,0.000744186,0.001112524,0.000943433,0.000887536,0.00100168,0.000998324,0.00137931,0.001131633,0.001735821,0.001344241,0.074711683,0.001594225,0.003075297,0.000381582,0.000846615,0.001196128,0.000367674,0.000756501,0.001038011,0,0,0,0,0,0,0,0,0,0.003690462,0.00039687,0.001464629,0,0,0,0,0,0,0,0,0,0,0,0,0.000255467,0,0,0,0,0,0.000567558,0.002209528,0.00102954,0,0,0,0,0,0.005998239,0.001135557,0.017339267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002884615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix",0,0,0,0.001146669,0,0,0,0,0,0.00024009,0.00064082,0.000711877,0,0,0,0,0,0,0.004166478,0,0.001357027,0,0,0,0.000169924,0,0.00116129,0,0,0,0,0,0,0,0,0,0,5.57616e-05,0,0.00254294,0.000494153,0.00054587,0,0,0.000483721,0,0.000196549,0,0,0,0,0,0,0,0.000233996,0.004421718,0.020181635,0,0,0,0,0,0,0,0,0,0.0098043,0.002565418,0.002618009,0,0,0,0,0,0.000244105,0,0,0,0,0,0,0.003158865,0.000662983,0.000193296,0,0,0,0.000255467,0.00065043,0.000384996,0,0,0,0.009005259,0.004149601,0.010018215,0,0,0,0,0,0.003356813,0.002838893,0.003989566,0,0,0,0,0,0,0,0,0,0,0,0,0.003194888,0.000977199,0.001360853,0,0,0,0,0,0
"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium",0.000213584,9.1529e-05,0.000207762,0.000243233,0,0,0.000555787,0,0.00123676,0.047057568,0,0.000187336,0,8.97585e-05,0.000152168,0,0.000214064,0,0.000181151,0,0,0,0.000245543,0.00015157,0,0,6.45161e-05,0,0.000254227,0,0,5.54954e-05,0,0.000536733,0,0.000386264,0.000679619,0.115621602,0.003176204,0.000178452,0.000274529,0.000272935,0.000117242,0.000163354,0.000372093,0.000317864,0.000235858,0,0.00029081,0.000427853,0.000235492,0.000202077,0.000166906,0.000422476,0.000300852,0.000180478,9.6103e-05,0.000466378,0.000147237,0.000224274,0,0.000330969,0,0,0,0,0.005365345,0,0.000396668,0,0,0.000256542,0.05208934,0.362682844,0.05013914,0,0,0.000578269,0.000532737,0.000279281,0.000169859,0,0,0.000270615,0.000278536,0.000560897,0.000381122,0.000408747,0,0.000439996,0.000353654,0.000328395,0.000751597,0.000264861,0.000161673,0.000237586,0,0,0,0.000173545,0,0.053433854,0.021291696,0.017185822,0.000128827,0,0,0,0,0,0.000115411,0,0,0,0,8.76778e-05,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.__",0,0,0,0,0,0.000275948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001328251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317864,0,0,0,0.001747067,0,0,0,0,0.006017048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001382003,0,0.001739668,0,0,0,0,0,0,0,0,0,0.000529721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Brevundimonas",0.00015256,0,0,0,0,0,0,0,0,0,0.000427213,0,0,0,0,0,0,0,0.015307278,0.002656503,0,0,0,0,0.000339847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000392199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154398,0,0.001785006,0,0,0,0,0,0,0.000374977,0,0,0,0,0,0.045957092,0.002099448,0.013337457,0.000222829,0,0.000444642,0,0,0,0.000221034,0.000182442,0,0,0.000107782,0.000197988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.__.__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000701989,0.00210558,0.000432464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007687594,0.002724359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000846906,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Brucellaceae.__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002172823,0.000751993,0.00096103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000445658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Brucellaceae.g__",0.00015256,0,0,0.000208485,0.001119552,0.000206961,0,0,6.34236e-05,0.000133383,0.002403076,0,0,0,0,0,0,0,0.034282868,0.007623008,0.006914378,0.002710027,0.005843933,0.007760398,0.000543755,0,9.67742e-05,0.00352474,0.007203085,0.000948857,8.94988e-05,0.000221982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020073448,0,0,0,0,0.000467993,0,0.000528567,0.000169592,0,0,0,0,0,0,0,0,0.004284556,0.001368223,0.003411345,0,0.000422654,0.0006157,0.000307539,0,0,0.000218736,0,0.000231307,0.000213095,0.000174551,0,0.04775589,0.003867403,0.006146828,0.002590385,0,0.009528044,0.00015328,0,0.000329997,0.000839928,0.003539371,0.005010648,0.000264861,0.000242509,0,0,0,0,0,0,0,0,0.000767224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204415,0.00022529,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Brucellaceae.g__Ochrobactrum",0.000427168,0,0,0.000799194,0.00039984,0.000206961,0.000486314,0.00039285,0.000253694,0.000453503,0.001602051,0.00067441,0.000504214,0.000239356,0.00035506,0.000642605,0.000107032,0,0.034826321,0.011145761,0,0.033518756,0.029366989,0.036740633,0.000339847,0.000402937,0,0.002141614,0.002245668,0.001945156,0.000298329,0.000249729,0.000212887,0,0,0,0,0,0,0.000312291,0.000439247,0.00054587,0,0,0.000446512,0,0.000275168,0.000126791,0.00029081,0.000927015,0.000269134,0,0,0,0.024569614,0.017115356,0.004468791,0.000254388,0.000110428,0.000411169,0,0,0,8.83991e-05,0,0,0.005210947,0.003591585,0.001309004,0,0.000528318,0.000718317,0,0.000453566,0.000683494,0.000437473,0,0.000578269,0.000479463,0.000314191,0.000467111,0.068551748,0.00441989,0.012216337,0.035958999,0.012580128,0.020898177,0.000510934,0.00101178,0.00098999,0.000928341,0.002481208,0.00162846,0.000454047,0.000269455,0.000554368,0,0,0,0,0,0.001155624,0,0,0,0.00145444,0,0.000636537,0,0.002005013,0.000307763,0,0.00024841,0,0.000245753,0.001543129,0,0.003387622,0,0,0.000730055,0.000997715,0.000605013,0,0.000323206
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__Methylobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000257654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Phyllobacteriaceae.__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000267424,0.000782072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Phyllobacteriaceae.g__Defluvibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Agrobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002423263,0.000560897,0.007495395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Xanthobacteraceae.__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011893488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Xanthobacteraceae.g__Xanthobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142633,0,0,0.001325404,0,0.015096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004345646,0,0.00096103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000922616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380355,0.001522369,0.000848794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099263,0,0,0,0,0,0,0,0,0,0,0,0,0.000396668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009999443,0.028846154,0.001651528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001338509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003142236,0.01043766,0.001057133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153769,0,0,0,0,0,0,0,0,0,0,0,0.001671216,0,0.000635203,0,0,0,0.010521197,0.000620302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004299674,0.000680426,0.000345662,0.000817661,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Acetobacter",0,0.001144112,0.001786753,0.000590709,0,0,0,0,0,0,0,0,0,0,0,0.003105923,0.000481644,0.015055706,0.000181151,0,0,0.000808254,0.000196435,0.001727901,0,0,0,0.002275465,0.008474217,0.000759085,0,0,0,0.006172425,0.001397399,0.008459191,0.002278724,0.001840132,0.002016637,0.000669195,0.002141328,0.001501143,0.001680475,0.000980125,0.0016,0.00158932,0.002712371,0.006297282,0.001518676,0.000570471,0.146879731,0.135149335,0.20599526,0.189077083,0.001805114,0.000481275,0.000672721,0.011786653,0.002797512,0.001719433,0.00213251,0.000898345,0.001384015,0.000176798,0.00060633,0.00059634,0,0,0,0,0,0,0,0,0,0,0,0,0.001971126,0.001954966,0.00063697,0,0,0,0.000584926,0.000240385,0.000381122,0,0,0,0.002652403,0.003028534,0.00363272,0,0,0,0.004744583,0.000525302,0.000454442,0.000485926,0.000839742,0.000330178,0.000709723,0,0.000429424,0.000799942,0.000566947,0.016868237,0,0.000501253,0,0.044521317,0.002782194,0.155769396,0.009430774,0.014519438,0,0.000390879,0,0,0.026427987,0.001963245,0,0.000384578,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Gluconobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013379,0,0,0,0,0,0,0,0,0,0,0.000580021,0.002160925,0,0,0,0,0,0,0.000231759,0,0,0,0,0,0,0.000156323,0,0,0,0.004088211,0,0,0,0,0,0,0.01133003,0,0,0,0.013694565,0.033680568,0.000261653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004010025,0,0,0,0,0,0,0,0,0,0,0.000467235,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__.g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.__",0,9.1529e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001460967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
